,Date,sentiment_score
150,2021-09-02,-0.04617829965427518
151,2021-09-03,-0.151284359395504
152,2021-09-07,0.019724567154688493
153,2021-09-08,-0.3935825079679489
154,2021-09-09,-0.004767091013491154
155,2021-09-10,0.09784730204514094
156,2021-09-13,0.02381183034075158
157,2021-09-14,0.02681278142457207
158,2021-09-15,-0.1232011953368783
159,2021-09-16,-0.23033106001093984
160,2021-09-17,-0.1937238477791349
161,2021-09-20,0.1257551813032478
162,2021-09-21,0.006320164725184441
163,2021-09-22,-0.05320567823946476
164,2021-09-23,0.05403446312993765
165,2021-09-24,0.0026717595756053925
166,2021-09-27,-0.005535736990471681
167,2021-09-28,-0.1266251450870186
168,2021-09-29,-0.35302423126995564
169,2021-09-30,0.0020281411707401276
170,2021-10-01,0.07950627623358741
171,2021-10-04,-0.13008609600365162
